campaign_name,campaign_type,product
з будь-якими витратами,error/missing,
youtube: rtg: ru: >15 sec,youtube_rtg,
youtube: rtg: lv: >15 sec,youtube_rtg,
youtube: conv: ru: (mobile),youtube_brand,
youtube: conv: ru: (desktop),youtube_brand,
youtube: conv: ru:,youtube_brand,
youtube: conv: lv: (mobile),youtube_brand,
youtube: conv: lv:,youtube_brand,
youtube: brand: tv: lv,youtube_brand,
smm-prosp-content_view,smm_prosp,
smm-prosp,smm_pros,
smm-dyn,smm_dyn,
perf: offline: all lang,google_perf,
perf: conv: sales: all lang (B - Test),google_perf,
perf: conv: sales: all lang (A - Test),google_perf,
perf: conv: sales: all lang,google_perf,
perf: conv: only mattress,google_perf,
new: g search: toppers (ru) (high price) - mobile,google_search,toppers
new: g search: toppers (ru) (high price) - desktop,google_search,toppers
new: g search: toppers (lv) (high price) - mobile,google_search,toppers
new: g search: toppers (lv) (high price) - desktop,google_search,toppers
new: g search: sofas (ru) (high price) - mobile,google_search,sofas
new: g search: sofas (ru) (high price) - desktop,google_search,sofas
new: g search: sofas (lv) high prices - mobile,google_search,sofas
new: g search: sofas (lv) high prices - desktop,google_search,sofas
new: g search: protective covers (ru) - mobile,google_search,protective_covers
new: g search: protective covers (ru) - desktop,google_search,protective_covers
new: g search: protective covers (lv) - mobile,google_search,protective_covers
new: g search: protective covers (lv) - desktop,google_search,protective_covers
new: g search: pillows and duvets (lv) - mobile,google_search,pillows_and_duvets
new: g search: pillows and duvets (lv) - desktop,google_search,pillows_and_duvets
new: g search: pillows (ru) (high price) - mobile,google_search,pillows
new: g search: pillows (ru) (high price) - desktop,google_search,pillows
new: g search: pillows (lv) (high price) - mobile,google_search,pillows
new: g search: pillows (lv) (high price) - desktop,google_search,pillows
new: g search: mattresses широкое (ru) - mobile,google_search,mattresses_long
new: g search: mattresses широкое (ru) - desktop,google_search,mattresses_long
new: g search: mattresses широкое (lv) - mobile,google_search,mattresses_long
new: g search: mattresses широкое (lv) - desktop,google_search,mattresses_long
new: g search: mattresses (ru) (high price) - mobile,google_search,mattresses_short
new: g search: mattresses (ru) (high price) - desktop,google_search,mattresses_short
new: g search: mattresses (lv) (high price) - mobile,google_search,mattresses_short
new: g search: mattresses (lv) (high price) - desktop,google_search,mattresses_short
new: g search: massage devices (ru) - mobile,google_search,massage_devices
new: g search: massage devices (ru) - desktop,google_search,massage_devices
new: g search: massage devices (lv) - mobile,google_search,massage_devices
new: g search: massage devices (lv) - desktop,google_search,massage_devices
new: g search: linen: Постельное бельё (RU) NEW - mobile,google_search,
new: g search: linen: Постельное бельё (RU) NEW - desktop,google_search,
new: g search: linen: Постельное бельё (LV) - mobile,google_search,
new: g search: linen: Постельное бельё (LV) - desktop,google_search,
new: g search: ergo (ru) - mobile,google_search,
new: g search: ergo (ru) - desktop,google_search,
new: g search: ergo (lv) - mobile,google_search,
new: g search: ergo (lv) - desktop,google_search,
new: g search: blankets (ru) high price - mobile,google_search,
new: g search: blankets (ru) high price - desktop,google_search,
new: g search: blankets (lv) high price - mobile,google_search,
new: g search: blankets (lv) high price - desktop,google_search,
new: g search: beds (ru) high price - mobile,google_search,
new: g search: beds (ru) high price - desktop,google_search,
new: g search: beds (lv) (high price) - mobile,google_search,
new: g search: beds (lv) (high price) - desktop,google_search,
gdn: traffic - conv: lv,google_banners,
gdn: smart: items: all site,google_banners,
gdn: items: (lv) (мобил),google_banners,
gdn: items: (lv) (десктоп),google_banners,
